,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6
F28E10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
C53D6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.9665571
C09F5.1,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
ctg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fmi-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
spp-13,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
odr-4,0.0,0.8692628,1.1860989,0.0,0.0,0.0,0.0
elo-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F44E5.4,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
ttr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clec-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cey-3,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
F11D5.1,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
chs-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-43,0.0,0.0,0.0,0.0,3.0220609,0.0,0.0
cutl-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK455.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twk-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pes-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asns-2,0.0,0.0,0.0,0.0,0.0,0.0,1.9331142
K10D3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-62,1.3976892,3.4770513,1.1860989,6.140243,6.0441217,12.142472,1.9331142
unc-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inx-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10C8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lron-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-5,2.7953784,48.67872,4.7443957,8.59634,3.0220609,4.0474906,7.7324567
unc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T13H5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y71H2B.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fasn-1,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
tppp-1,0.0,0.8692628,0.0,1.2280487,0.0,0.0,0.0
pghm-1,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
tba-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutl-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pat-10,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
nphp-4,1.3976892,0.0,0.0,0.0,0.0,0.0,0.0
nlp-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hot-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qdpr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glb-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C30G4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
ttn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
casy-1,0.4658964,0.0,0.0,0.0,0.0,0.0,1.9331142
ptd-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sox-4,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
zfh-2,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
aat-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnp-1,3.7271712,0.0,0.0,0.0,3.0220609,0.0,1.9331142
F53A9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F16C3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F47E1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W02D7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glr-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32D8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glna-3,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
fkb-7,0.0,0.0,7.1165934,3.684146,0.0,0.0,0.9665571
dos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F43C9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26F1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pros-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25G6.1,2.3294818,0.0,0.0,0.0,0.0,0.0,0.0
fbxb-74,4.1930676,0.8692628,16.605385,1.2280487,12.0882435,17.539127,6.7658997
cutl-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shc-2,4.1930676,0.0,0.0,0.0,0.0,0.0,0.0
K08F9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK856.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07E3.4,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
ZK822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pqn-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R02E12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK1307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lon-2,1.3976892,1.7385256,0.0,1.2280487,0.0,1.3491635,1.9331142
C40H1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01E8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icl-1,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
eri-6,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
ift-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F42G8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F59E11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-31,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
F54E4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B0228.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpx-5,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
C01H6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sym-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slt-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tns-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmit-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08B12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07C11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbx-2,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
hrg-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmd-2,0.0,0.0,0.0,0.0,0.0,1.3491635,0.9665571
F09E10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F46F2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spi-1,0.9317928,0.0,0.0,0.0,0.0,0.0,0.0
C14F11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F55D12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dao-2,0.0,1.7385256,0.0,0.0,0.0,0.0,0.0
ncam-1,1.8635856,0.8692628,0.0,0.0,0.0,0.0,0.0
pgal-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-18,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
gst-24,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
grd-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18A11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-83,0.9317928,0.0,0.0,0.0,0.0,0.0,0.0
C34E7.4,0.0,0.0,0.0,1.2280487,0.0,1.3491635,0.0
F48D6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cab-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T10B5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32B5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F26E4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
che-13,0.9317928,0.0,0.0,0.0,0.0,0.0,0.0
F57F4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acy-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M153.4,0.0,0.0,0.0,0.0,3.0220609,0.0,0.0
far-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14D12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F44A2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sodh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32A5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mua-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyra-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08G9.1,0.0,0.8692628,0.0,3.684146,0.0,4.0474906,0.9665571
ace-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocr-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-8,0.0,0.0,1.1860989,0.0,0.0,1.3491635,0.0
zig-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK643.2,4.1930676,1.7385256,9.488791,6.140243,9.066183,13.491635,3.8662283
cki-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptb-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y48C3A.5,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
unc-86,2.3294818,0.0,0.0,0.0,3.0220609,0.0,1.9331142
unc-24,0.4658964,0.8692628,0.0,0.0,0.0,0.0,0.0
aakg-5,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
lpr-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13F10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T14B1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grl-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07C6.4,0.0,0.0,1.1860989,0.0,0.0,1.3491635,0.9665571
ceh-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mec-7,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
lpr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gcy-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-20,0.4658964,0.0,0.0,1.2280487,0.0,0.0,3.8662283
sol-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ets-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T03G11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pde-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbn-1,1.8635856,2.6077886,3.5582967,2.4560974,9.066183,2.698327,1.9331142
ceh-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sqt-3,0.0,1.7385256,0.0,0.0,0.0,0.0,0.0
pmt-2,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
ZK1067.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C04F12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strl-1,0.0,0.0,1.1860989,0.0,0.0,1.3491635,0.0
F58H10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
mab-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.4,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
unc-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09G8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ast-1,0.4658964,0.8692628,0.0,0.0,0.0,0.0,0.0
swip-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msa-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-1,0.0,0.8692628,0.0,1.2280487,0.0,0.0,0.0
T04G9.4,0.0,0.0,2.3721979,0.0,0.0,0.0,0.0
ceh-8,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
eva-1,0.0,0.0,0.0,1.2280487,0.0,1.3491635,0.0
F14B4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26B9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cka-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catp-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZC21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10D3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32H5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y41G9A.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsp-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arl-3,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
cla-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhgf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F39B2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31C9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asp-4,0.4658964,0.0,0.0,3.684146,3.0220609,0.0,0.0
pdl-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-6,0.0,0.0,0.0,2.4560974,3.0220609,4.0474906,1.9331142
lgc-47,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
C53A3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F16H11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R02D3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.2,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
ace-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enpl-1,7.4543424,0.0,5.9304943,3.684146,0.0,4.0474906,1.9331142
psa-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbs-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dhs-4,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
F58F9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pqn-44,0.0,0.0,0.0,1.2280487,0.0,0.0,0.0
R12B2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lag-1,1.3976892,1.7385256,1.1860989,1.2280487,0.0,4.0474906,2.8996713
cutl-20,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
pcrg-1,0.4658964,0.8692628,0.0,0.0,0.0,1.3491635,0.0
nhr-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K06A4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-19,1.8635856,0.0,0.0,0.0,0.0,0.0,0.0
lin-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sams-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E02A10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32D1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-6,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
lbp-3,0.0,0.0,0.0,2.4560974,0.0,0.0,0.9665571
wrt-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C16B8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inx-12,0.0,0.0,0.0,0.0,0.0,1.3491635,0.0
gcy-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saeg-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D1054.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxa-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-270,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cof-2,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
T19D12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flp-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2092.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C44C1.6,0.0,0.0,0.0,0.0,3.0220609,0.0,0.0
tbc-7,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
C17G1.5,0.0,0.8692628,1.1860989,0.0,0.0,0.0,0.0
sym-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpn-3,0.4658964,0.0,0.0,0.0,0.0,1.3491635,0.0
ceh-32,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
tbp-1,0.4658964,0.0,0.0,1.2280487,0.0,0.0,0.0
ttx-1,0.0,0.0,1.1860989,0.0,0.0,0.0,0.0
ceh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mab-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lim-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-8,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
ces-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snai-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egrh-3,0.0,0.0,0.0,0.0,0.0,0.0,1.9331142
Y75B8A.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dmd-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-26,0.0,0.0,0.0,0.0,0.0,0.0,0.9665571
mxl-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hlh-30,0.0,0.8692628,0.0,0.0,3.0220609,1.3491635,0.9665571
nsy-7,0.4658964,0.8692628,0.0,0.0,0.0,0.0,1.9331142
fos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pie-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
athp-3,0.0,1.7385256,0.0,1.2280487,0.0,4.0474906,3.8662283
unc-30,6.056653,9.561892,10.6748905,11.052438,9.066183,37.77658,16.43147
nhr-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fax-1,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
lin-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkh-2,0.0,0.8692628,0.0,0.0,0.0,0.0,0.0
nhr-2,7.4543424,6.08484,8.302692,15.964632,0.0,9.444145,10.632128
sox-2,0.4658964,0.0,0.0,0.0,0.0,1.3491635,0.0
mab-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
php-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-20,0.4658964,0.8692628,1.1860989,0.0,0.0,0.0,0.0
cog-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-67,0.0,0.8692628,1.1860989,0.0,0.0,0.0,0.0
nhr-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-38,0.9317928,3.4770513,0.0,1.2280487,0.0,0.0,0.0
ceh-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egrh-2,0.4658964,0.0,0.0,0.0,0.0,0.0,0.0
pha-4,2.7953784,0.0,0.0,0.0,0.0,0.0,0.0
elt-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skn-1,0.9317928,0.8692628,0.0,1.2280487,0.0,0.0,0.0
unc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elt-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mef-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mab-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snpc-4,1.3976892,0.8692628,0.0,0.0,0.0,8.094981,0.9665571
