,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9
slt-1,0.0,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,0.0,0.0
tns-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hmit-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08B12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07C11.4,0.0,0.0,0.0,0.0,0.0,3.6941264,2.1290185,0.0,0.0,0.0
tbx-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrg-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
rmd-2,0.0,3.6650174,0.0,0.0,2.540005,0.0,0.0,1.8649758,2.214349,0.0
F09E10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F46F2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14F11.6,0.0,0.91625434,0.98765427,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
F55D12.5,0.0,0.0,0.0,0.0,0.0,2.462751,0.0,0.0,0.0,0.0
dao-2,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ncam-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pgal-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
mig-18,1.2257906,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grd-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18A11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-83,0.0,0.91625434,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34E7.4,0.0,0.0,0.0,0.0,2.540005,1.2313755,0.0,0.0,0.0,0.0
F48D6.4,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cab-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-11,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,2.214349,0.0
T10B5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32B5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-10,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F26E4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
che-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F57F4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acy-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
M153.4,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
far-1,0.0,1.8325087,0.0,0.0,5.08001,1.2313755,2.1290185,0.0,0.0,0.0
unc-42,0.0,0.0,0.0,0.0,0.0,4.925502,4.258037,0.0,0.0,0.0
F14D12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F44A2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-8,0.0,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,0.0,0.0
sodh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32A5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mua-3,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyra-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08G9.1,0.0,0.0,0.0,0.0,2.540005,0.0,0.0,0.0,0.0,0.0
ace-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ocr-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atf-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zig-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK643.2,6.128953,9.162543,11.851851,13.201321,2.540005,2.462751,2.1290185,7.4599032,6.6430473,6.4377685
cki-2,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ptb-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
Y48C3A.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-86,0.0,0.0,0.98765427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aakg-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
lpr-4,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C13F10.1,0.0,0.0,0.98765427,0.0,0.0,0.0,2.1290185,0.0,0.0,0.0
gst-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T14B1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grl-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07C6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-30,0.0,0.91625434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mec-7,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
lpr-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145923
gcy-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-20,0.0,0.0,2.9629629,0.0,5.08001,0.0,0.0,1.8649758,0.0,2.145923
sol-1,0.0,0.0,0.0,0.0,0.0,0.0,2.1290185,0.0,0.0,0.0
ets-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T03G11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pde-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbn-1,14.709487,4.5812716,0.0,6.6006603,10.16002,2.462751,0.0,0.0,0.0,6.4377685
ceh-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sqt-3,2.4515812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pmt-2,2.4515812,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
ZK1067.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C04F12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strl-1,0.0,0.91625434,0.0,2.20022,0.0,1.2313755,2.1290185,0.0,0.0,0.0
F58H10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mab-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-15,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
F09G8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ast-1,0.0,0.0,0.0,0.0,0.0,2.462751,0.0,1.8649758,0.0,0.0
swip-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
msa-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc-1,3.6773717,0.91625434,0.0,0.0,0.0,2.462751,2.1290185,0.0,2.214349,0.0
T04G9.4,1.2257906,0.0,0.0,0.0,0.0,1.2313755,2.1290185,1.8649758,0.0,0.0
ceh-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5949273,0.0,0.0
eva-1,1.2257906,0.0,0.0,0.0,0.0,2.462751,4.258037,0.0,0.0,0.0
F14B4.1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,2.214349,0.0
C26B9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cka-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catp-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZC21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K10D3.4,0.0,0.0,0.98765427,0.0,2.540005,1.2313755,0.0,0.0,0.0,0.0
F32H5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y41G9A.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tsp-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8649758,0.0,0.0
arl-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cla-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nhr-62,1.2257906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rhgf-1,2.4515812,0.0,0.0,2.20022,2.540005,0.0,2.1290185,3.7299516,0.0,0.0
F39B2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C31C9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asp-4,19.61265,26.571375,0.98765427,0.0,5.08001,4.925502,8.516074,1.8649758,22.14349,4.291846
pdl-1,0.0,0.0,0.0,0.0,0.0,1.2313755,0.0,0.0,0.0,0.0
