,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5
AH9.6,0.0,0.0,0.0,0.0,0.0,0.0
F53B3.3,0.0,0.0,0.0,0.0,0.0,0.0
abts-1,1.8580452,0.0,0.0,0.0,0.0,0.0
C14B9.2,0.0,5.724098,0.0,2.1276596,0.0,0.0
dyf-1,0.0,0.0,0.0,0.0,0.0,0.0
C29F5.1,0.0,0.0,0.0,0.0,0.0,0.0
set-18,0.0,0.0,0.0,0.0,0.0,0.0
deg-1,0.0,0.0,0.0,0.0,0.0,0.0
fbxc-20,0.0,0.0,0.0,0.0,0.0,0.0
lec-3,0.0,0.0,0.0,2.1276596,0.0,0.0
C25D7.15,0.0,0.0,0.0,0.0,0.0,0.0
lev-11,0.0,0.0,0.0,0.0,0.0,1.5956599
cpr-6,0.0,0.0,0.0,0.0,0.0,0.0
lips-10,0.0,0.0,0.0,0.0,0.0,0.0
gpdh-1,0.0,0.0,0.0,0.0,0.0,0.0
Y62F5A.9,0.0,3.8160655,3.3311129,0.0,0.0,3.1913197
lntl-1,0.0,0.0,0.0,0.0,0.0,0.0
hgo-1,0.0,0.0,0.0,0.0,0.0,0.0
Y22D7AL.6,0.0,0.0,0.0,0.0,0.0,0.0
C14A11.5,0.0,0.0,0.0,0.0,0.0,0.0
cex-2,0.0,0.0,0.0,0.0,0.0,0.0
dhs-8,9.290226,9.540164,16.655563,4.255319,10.7681265,6.3826394
F47B10.8,0.0,0.0,0.0,0.0,0.0,0.0
cpz-1,0.0,0.0,0.0,0.0,0.0,0.0
spp-22,0.0,0.0,0.0,0.0,0.0,0.0
ftn-2,0.0,7.632131,3.3311129,0.0,0.0,0.0
K02F2.5,0.0,0.0,0.0,0.0,0.0,0.0
odr-2,0.0,0.0,0.0,0.0,0.0,0.0
R102.2,0.0,0.0,0.0,14.893617,0.0,0.0
Y102A11A.9,0.0,0.0,0.0,4.255319,0.0,0.0
C01G5.25,0.0,0.0,0.0,0.0,0.0,0.0
tir-1,0.0,0.0,0.0,0.0,0.0,0.0
lact-2,0.0,0.0,0.0,0.0,0.0,0.0
cnc-3,0.0,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0,0.0
F57B1.6,0.0,0.0,0.0,0.0,0.0,0.0
ham-1,0.0,0.0,0.0,0.0,0.0,0.0
Y52B11A.12,7.432181,3.8160655,0.0,0.0,0.0,0.0
ZC443.4,0.0,0.0,0.0,0.0,0.0,0.0
dpy-13,0.0,0.0,0.0,0.0,0.0,0.0
C34D1.4,0.0,0.0,0.0,0.0,0.0,0.0
F41D9.2,0.0,0.0,0.0,0.0,3.5893753,0.0
fkb-4,0.0,0.0,0.0,0.0,0.0,0.0
F28E10.1,0.0,0.0,0.0,0.0,3.5893753,0.0
C53D6.8,0.0,0.0,0.0,0.0,0.0,0.0
max-1,0.0,0.0,0.0,0.0,0.0,0.0
C09F5.1,0.0,0.0,0.0,0.0,0.0,0.0
ctg-1,0.0,0.0,0.0,0.0,7.1787505,0.0
fos-1,0.0,0.0,0.0,0.0,0.0,0.0
fmi-1,1.8580452,0.0,0.0,0.0,0.0,0.0
spp-13,0.0,0.0,0.0,0.0,0.0,0.0
odr-4,0.0,0.0,0.0,0.0,0.0,0.0
elo-6,0.0,0.0,0.0,0.0,0.0,0.0
F44E5.4,0.0,0.0,0.0,0.0,0.0,0.0
ttr-1,0.0,0.0,0.0,0.0,0.0,0.0
clec-1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,0.0,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0
cey-3,0.0,0.0,0.0,0.0,0.0,0.0
F11D5.1,0.0,0.0,0.0,0.0,0.0,1.5956599
chs-1,0.0,0.0,0.0,0.0,0.0,0.0
unc-43,0.0,0.0,0.0,0.0,0.0,0.0
cutl-18,0.0,0.0,0.0,0.0,0.0,0.0
osm-11,0.0,0.0,0.0,0.0,0.0,0.0
osm-5,0.0,0.0,0.0,0.0,0.0,0.0
ZK455.5,0.0,0.0,0.0,0.0,0.0,0.0
twk-14,0.0,0.0,0.0,0.0,0.0,0.0
pes-23,0.0,0.0,0.0,0.0,0.0,0.0
asns-2,1.8580452,0.0,0.0,0.0,0.0,0.0
K10D3.6,0.0,0.0,0.0,0.0,0.0,0.0
shk-1,0.0,0.0,0.0,0.0,0.0,0.0
unc-62,0.0,1.9080328,0.0,0.0,0.0,3.1913197
unc-58,0.0,0.0,0.0,0.0,0.0,0.0
inx-13,0.0,0.0,0.0,0.0,0.0,1.5956599
K10C8.4,0.0,0.0,0.0,0.0,0.0,0.0
lron-13,0.0,0.0,0.0,0.0,0.0,0.0
hil-5,1.8580452,1.9080328,9.993339,2.1276596,61.019382,0.0
unc-3,0.0,0.0,0.0,6.382979,0.0,0.0
T13H5.1,0.0,0.0,0.0,0.0,0.0,0.0
Y71H2B.1,0.0,0.0,0.0,0.0,0.0,0.0
fasn-1,0.0,0.0,0.0,0.0,3.5893753,0.0
tppp-1,0.0,0.0,0.0,0.0,0.0,0.0
pghm-1,0.0,0.0,0.0,0.0,0.0,0.0
tba-9,0.0,0.0,0.0,0.0,0.0,0.0
cutl-17,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.5,0.0,0.0,0.0,0.0,0.0,0.0
pat-10,0.0,0.0,0.0,0.0,0.0,0.0
nphp-4,0.0,0.0,0.0,0.0,0.0,0.0
nlp-57,0.0,0.0,0.0,0.0,0.0,0.0
hot-4,0.0,0.0,0.0,2.1276596,0.0,0.0
qdpr-1,0.0,0.0,0.0,0.0,0.0,0.0
glb-18,0.0,0.0,0.0,2.1276596,0.0,0.0
C30G4.4,0.0,0.0,0.0,0.0,0.0,0.0
ttn-1,0.0,0.0,0.0,0.0,0.0,0.0
casy-1,0.0,0.0,0.0,0.0,0.0,0.0
ptd-2,0.0,0.0,0.0,0.0,0.0,0.0
hil-7,0.0,0.0,0.0,0.0,0.0,0.0
egl-21,0.0,0.0,0.0,2.1276596,0.0,0.0
sox-4,0.0,0.0,0.0,0.0,0.0,0.0
zfh-2,0.0,0.0,0.0,0.0,0.0,0.0
aat-6,0.0,0.0,0.0,0.0,0.0,0.0
mnp-1,0.0,0.0,0.0,0.0,0.0,0.0
F53A9.8,0.0,0.0,0.0,0.0,0.0,0.0
F16C3.2,0.0,0.0,0.0,0.0,0.0,0.0
rig-6,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,0.0
cpn-1,0.0,0.0,0.0,0.0,0.0,1.5956599
hsp-70,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.6,0.0,0.0,0.0,0.0,0.0,0.0
F47E1.3,0.0,0.0,0.0,0.0,0.0,0.0
mig-6,0.0,0.0,0.0,0.0,0.0,0.0
W02D7.8,0.0,0.0,0.0,0.0,0.0,0.0
glr-2,0.0,0.0,0.0,0.0,0.0,0.0
F32D8.7,0.0,0.0,0.0,0.0,0.0,0.0
glna-3,0.0,0.0,0.0,0.0,0.0,0.0
fkb-7,3.7160904,5.724098,0.0,0.0,3.5893753,0.0
dos-1,0.0,0.0,0.0,0.0,0.0,0.0
F43C9.2,0.0,0.0,0.0,0.0,0.0,0.0
C26F1.1,0.0,0.0,0.0,0.0,3.5893753,0.0
pros-1,0.0,0.0,0.0,0.0,0.0,0.0
C25G6.1,0.0,0.0,0.0,0.0,0.0,0.0
fbxb-74,7.432181,0.0,9.993339,2.1276596,10.7681265,6.3826394
cutl-15,0.0,0.0,0.0,0.0,0.0,0.0
shc-2,0.0,0.0,0.0,0.0,0.0,0.0
K08F9.3,0.0,0.0,0.0,0.0,0.0,0.0
ZK856.5,0.0,0.0,0.0,0.0,0.0,0.0
K07E3.4,0.0,0.0,0.0,2.1276596,0.0,0.0
ZK822.1,0.0,0.0,0.0,0.0,0.0,0.0
mec-12,0.0,0.0,0.0,0.0,0.0,0.0
pqn-48,0.0,0.0,0.0,0.0,0.0,0.0
R02E12.4,0.0,0.0,0.0,0.0,0.0,0.0
ZK1307.1,0.0,0.0,0.0,0.0,0.0,0.0
lon-2,0.0,3.8160655,0.0,0.0,0.0,0.0
C40H1.8,0.0,0.0,0.0,0.0,0.0,0.0
T01E8.8,0.0,0.0,0.0,0.0,0.0,0.0
icl-1,0.0,0.0,0.0,0.0,0.0,0.0
eri-6,0.0,0.0,3.3311129,0.0,0.0,0.0
ift-74,0.0,0.0,0.0,0.0,0.0,0.0
F42G8.19,0.0,0.0,0.0,2.1276596,0.0,0.0
F59E11.7,0.0,0.0,0.0,0.0,0.0,0.0
nlp-31,0.0,0.0,0.0,0.0,0.0,0.0
F54E4.3,0.0,0.0,0.0,2.1276596,0.0,0.0
egl-13,0.0,0.0,0.0,0.0,0.0,0.0
B0228.1,0.0,0.0,0.0,0.0,0.0,0.0
gpx-5,0.0,0.0,0.0,0.0,0.0,0.0
C01H6.3,0.0,0.0,0.0,0.0,0.0,0.0
sym-1,3.7160904,5.724098,0.0,8.510638,3.5893753,0.0
slt-1,0.0,0.0,0.0,0.0,0.0,0.0
tns-1,0.0,0.0,0.0,0.0,0.0,0.0
hmit-1.3,0.0,0.0,0.0,0.0,0.0,0.0
F08B12.4,0.0,0.0,0.0,0.0,0.0,0.0
K07C11.4,0.0,0.0,0.0,0.0,0.0,0.0
tbx-2,0.0,0.0,0.0,0.0,0.0,0.0
hrg-3,0.0,0.0,0.0,0.0,0.0,0.0
ZK287.1,0.0,0.0,0.0,2.1276596,0.0,0.0
rmd-2,0.0,0.0,0.0,4.255319,3.5893753,0.0
F09E10.5,0.0,0.0,0.0,0.0,0.0,0.0
F46F2.5,0.0,0.0,0.0,0.0,0.0,0.0
spi-1,0.0,0.0,0.0,0.0,0.0,0.0
C14F11.6,0.0,1.9080328,0.0,0.0,0.0,0.0
F55D12.5,0.0,0.0,0.0,2.1276596,0.0,0.0
dao-2,1.8580452,0.0,0.0,0.0,0.0,0.0
ncam-1,0.0,1.9080328,0.0,0.0,0.0,0.0
pgal-1,0.0,0.0,0.0,2.1276596,0.0,0.0
mig-1,0.0,0.0,0.0,4.255319,3.5893753,0.0
mig-18,0.0,0.0,0.0,0.0,0.0,0.0
gst-24,0.0,0.0,0.0,2.1276596,0.0,1.5956599
grd-5,1.8580452,1.9080328,0.0,0.0,0.0,0.0
C18A11.1,0.0,0.0,0.0,0.0,0.0,0.0
unc-83,0.0,0.0,0.0,0.0,0.0,1.5956599
C34E7.4,44.593086,28.620491,39.973354,102.12766,61.019382,33.508858
F48D6.4,0.0,0.0,0.0,0.0,0.0,1.5956599
cab-1,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.5,0.0,0.0,0.0,0.0,0.0,0.0
lin-11,0.0,1.9080328,0.0,0.0,0.0,0.0
T10B5.4,0.0,0.0,0.0,0.0,0.0,0.0
F32B5.6,0.0,0.0,0.0,0.0,0.0,0.0
daf-10,0.0,0.0,3.3311129,0.0,0.0,0.0
F26E4.3,0.0,0.0,0.0,0.0,0.0,0.0
che-13,0.0,0.0,0.0,0.0,0.0,0.0
F57F4.4,0.0,0.0,0.0,0.0,0.0,0.0
acy-1,0.0,0.0,0.0,0.0,0.0,0.0
M153.4,0.0,0.0,0.0,2.1276596,0.0,0.0
far-1,0.0,0.0,0.0,0.0,0.0,0.0
unc-42,0.0,0.0,0.0,0.0,0.0,0.0
F14D12.1,0.0,0.0,0.0,0.0,0.0,0.0
F44A2.3,0.0,0.0,0.0,0.0,0.0,0.0
lec-8,0.0,0.0,0.0,0.0,0.0,0.0
sodh-1,0.0,0.0,0.0,0.0,0.0,0.0
F32A5.4,0.0,0.0,0.0,0.0,0.0,0.0
mua-3,0.0,0.0,0.0,0.0,0.0,0.0
tyra-2,0.0,0.0,0.0,0.0,0.0,0.0
C08G9.1,0.0,0.0,0.0,2.1276596,0.0,0.0
ace-2,0.0,0.0,0.0,0.0,0.0,0.0
ocr-3,0.0,0.0,0.0,0.0,0.0,0.0
atf-8,0.0,0.0,0.0,0.0,0.0,0.0
zig-8,0.0,0.0,0.0,0.0,0.0,0.0
ZK643.2,0.0,5.724098,6.6622257,2.1276596,7.1787505,1.5956599
cki-2,0.0,0.0,0.0,0.0,0.0,0.0
ptb-1,0.0,0.0,0.0,0.0,0.0,0.0
Y48C3A.5,0.0,0.0,0.0,0.0,0.0,0.0
unc-86,0.0,1.9080328,0.0,0.0,0.0,0.0
unc-24,0.0,0.0,0.0,2.1276596,0.0,0.0
aakg-5,0.0,0.0,0.0,0.0,0.0,0.0
lpr-4,0.0,0.0,0.0,0.0,0.0,0.0
C13F10.1,0.0,0.0,0.0,0.0,0.0,0.0
gst-13,0.0,0.0,0.0,0.0,0.0,0.0
T14B1.1,0.0,0.0,0.0,0.0,0.0,0.0
grl-10,0.0,0.0,0.0,0.0,0.0,0.0
F07C6.4,0.0,0.0,0.0,0.0,0.0,0.0
ceh-30,0.0,0.0,3.3311129,0.0,0.0,0.0
mec-7,0.0,0.0,0.0,0.0,0.0,0.0
lpr-6,0.0,0.0,0.0,0.0,0.0,0.0
gcy-36,0.0,0.0,0.0,0.0,0.0,0.0
gst-20,50.16722,68.68918,6.6622257,2.1276596,75.376884,44.678474
sol-1,0.0,0.0,0.0,0.0,0.0,0.0
ets-5,0.0,0.0,0.0,0.0,0.0,0.0
T03G11.3,0.0,0.0,0.0,0.0,0.0,0.0
pde-1,0.0,0.0,0.0,2.1276596,0.0,0.0
fbn-1,3.7160904,3.8160655,0.0,0.0,0.0,1.5956599
ceh-31,0.0,0.0,0.0,0.0,0.0,0.0
sqt-3,0.0,0.0,0.0,0.0,0.0,0.0
pmt-2,22.296543,36.252625,29.980015,8.510638,75.376884,12.765279
ZK1067.4,0.0,0.0,0.0,0.0,0.0,1.5956599
C04F12.5,0.0,0.0,0.0,0.0,0.0,0.0
strl-1,0.0,0.0,0.0,0.0,0.0,0.0
F58H10.1,0.0,0.0,0.0,0.0,0.0,0.0
mab-21,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.4,0.0,1.9080328,0.0,0.0,0.0,0.0
unc-15,0.0,0.0,0.0,0.0,0.0,0.0
F09G8.5,0.0,0.0,0.0,0.0,0.0,0.0
ast-1,0.0,0.0,0.0,0.0,0.0,0.0
swip-10,0.0,0.0,0.0,0.0,0.0,0.0
msa-1,0.0,0.0,0.0,0.0,0.0,0.0
nuc-1,0.0,3.8160655,0.0,0.0,0.0,1.5956599
T04G9.4,0.0,0.0,3.3311129,6.382979,7.1787505,0.0
ceh-8,0.0,0.0,0.0,0.0,0.0,0.0
eva-1,0.0,0.0,3.3311129,0.0,0.0,0.0
F14B4.1,0.0,0.0,3.3311129,0.0,0.0,0.0
C26B9.3,0.0,0.0,0.0,0.0,0.0,0.0
cka-2,0.0,0.0,3.3311129,2.1276596,0.0,0.0
catp-3,0.0,0.0,0.0,0.0,0.0,0.0
ZC21.3,0.0,0.0,0.0,0.0,0.0,0.0
K10D3.4,0.0,0.0,0.0,0.0,0.0,0.0
F32H5.3,0.0,0.0,0.0,0.0,0.0,0.0
lpr-1,0.0,0.0,0.0,0.0,0.0,0.0
Y41G9A.5,0.0,0.0,0.0,0.0,0.0,0.0
tsp-7,0.0,0.0,0.0,0.0,0.0,0.0
arl-3,0.0,0.0,0.0,2.1276596,0.0,0.0
cla-1,0.0,0.0,0.0,0.0,0.0,0.0
nhr-62,0.0,0.0,0.0,0.0,0.0,0.0
rhgf-1,0.0,0.0,0.0,0.0,0.0,1.5956599
F39B2.8,0.0,0.0,0.0,0.0,0.0,0.0
C31C9.7,0.0,0.0,0.0,0.0,0.0,0.0
asp-4,13.006317,1.9080328,6.6622257,0.0,3.5893753,3.1913197
pdl-1,0.0,0.0,0.0,0.0,0.0,0.0
unc-6,0.0,0.0,0.0,0.0,0.0,0.0
lgc-47,0.0,0.0,0.0,0.0,0.0,0.0
C53A3.2,0.0,3.8160655,0.0,2.1276596,0.0,0.0
F16H11.1,0.0,0.0,0.0,0.0,0.0,0.0
R02D3.1,1.8580452,0.0,0.0,0.0,0.0,0.0
agr-1,0.0,0.0,0.0,0.0,0.0,0.0
Y37D8A.2,1.8580452,0.0,0.0,0.0,0.0,0.0
ace-4,0.0,0.0,0.0,0.0,0.0,0.0
enpl-1,14.864362,3.8160655,6.6622257,2.1276596,3.5893753,3.1913197
psa-3,0.0,0.0,0.0,0.0,0.0,0.0
bbs-8,0.0,0.0,0.0,4.255319,0.0,0.0
unc-25,0.0,0.0,0.0,0.0,0.0,0.0
dhs-4,0.0,0.0,0.0,0.0,0.0,0.0
F58F9.1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-37,0.0,0.0,0.0,0.0,0.0,0.0
pqn-44,0.0,0.0,0.0,0.0,0.0,0.0
R12B2.8,0.0,0.0,0.0,0.0,0.0,0.0
lag-1,0.0,0.0,0.0,0.0,0.0,0.0
cutl-20,0.0,0.0,0.0,0.0,0.0,0.0
pcrg-1,0.0,0.0,0.0,0.0,0.0,0.0
nhr-25,0.0,1.9080328,0.0,2.1276596,7.1787505,1.5956599
K06A4.2,0.0,0.0,0.0,0.0,0.0,0.0
daf-19,0.0,0.0,0.0,0.0,3.5893753,1.5956599
lin-2,0.0,0.0,0.0,0.0,0.0,0.0
sams-1,0.0,0.0,0.0,0.0,0.0,0.0
E02A10.3,0.0,0.0,0.0,2.1276596,0.0,0.0
F32D1.3,0.0,0.0,0.0,0.0,3.5893753,0.0
osm-6,0.0,0.0,0.0,0.0,0.0,0.0
lbp-3,22.296543,13.35623,9.993339,34.042553,21.536253,14.360939
wrt-10,0.0,1.9080328,0.0,14.893617,7.1787505,1.5956599
C16B8.2,0.0,0.0,0.0,0.0,0.0,0.0
inx-12,0.0,0.0,0.0,2.1276596,0.0,0.0
gcy-31,0.0,0.0,0.0,0.0,0.0,0.0
saeg-1,0.0,0.0,0.0,0.0,0.0,0.0
D1054.18,0.0,0.0,0.0,0.0,0.0,0.0
fbxa-4,0.0,0.0,0.0,0.0,0.0,0.0
nhr-270,0.0,0.0,0.0,0.0,0.0,0.0
cof-2,0.0,0.0,0.0,0.0,0.0,0.0
T19D12.6,0.0,0.0,0.0,0.0,0.0,0.0
flp-9,0.0,0.0,0.0,0.0,0.0,0.0
D2092.4,0.0,0.0,0.0,0.0,0.0,0.0
lin-39,0.0,0.0,0.0,0.0,0.0,0.0
C44C1.6,0.0,0.0,0.0,0.0,0.0,0.0
tbc-7,0.0,0.0,0.0,0.0,0.0,0.0
C17G1.5,1.8580452,7.632131,3.3311129,0.0,3.5893753,1.5956599
sym-2,0.0,0.0,0.0,0.0,0.0,0.0
cpn-3,0.0,0.0,0.0,0.0,0.0,0.0
ceh-32,0.0,0.0,0.0,0.0,0.0,0.0
tbp-1,1.8580452,0.0,0.0,0.0,3.5893753,0.0
ttx-1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,0.0,0.0,0.0
mab-5,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,0.0
ceh-2,0.0,0.0,0.0,0.0,0.0,0.0
lim-7,0.0,0.0,0.0,0.0,0.0,0.0
ceh-8,0.0,0.0,0.0,0.0,0.0,0.0
ces-1,0.0,0.0,0.0,0.0,0.0,0.0
snai-1,0.0,0.0,0.0,0.0,0.0,0.0
egrh-3,0.0,0.0,0.0,0.0,0.0,0.0
Y75B8A.6,0.0,0.0,0.0,0.0,0.0,0.0
dmd-9,0.0,0.0,0.0,0.0,0.0,0.0
hlh-11,0.0,0.0,0.0,0.0,0.0,0.0
hlh-26,0.0,0.0,0.0,0.0,0.0,0.0
mxl-3,0.0,0.0,0.0,0.0,0.0,0.0
hlh-30,0.0,0.0,0.0,8.510638,0.0,1.5956599
nsy-7,0.0,0.0,0.0,0.0,0.0,0.0
fos-1,0.0,0.0,0.0,0.0,0.0,0.0
pie-1,0.0,0.0,0.0,0.0,0.0,0.0
athp-3,0.0,0.0,0.0,0.0,0.0,0.0
unc-30,0.0,0.0,0.0,0.0,0.0,0.0
nhr-23,0.0,0.0,0.0,0.0,0.0,0.0
nhr-91,0.0,0.0,0.0,0.0,3.5893753,0.0
lin-1,0.0,0.0,0.0,0.0,0.0,0.0
fax-1,0.0,0.0,0.0,0.0,0.0,0.0
lin-14,0.0,0.0,0.0,0.0,0.0,0.0
maf-1,0.0,0.0,0.0,0.0,0.0,0.0
fkh-2,0.0,0.0,0.0,0.0,0.0,0.0
nhr-2,1.8580452,1.9080328,3.3311129,4.255319,0.0,0.0
sox-2,0.0,0.0,0.0,0.0,0.0,0.0
mab-9,0.0,0.0,0.0,0.0,0.0,0.0
egl-44,0.0,0.0,0.0,0.0,0.0,1.5956599
nhr-8,0.0,0.0,0.0,0.0,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-12,0.0,0.0,0.0,0.0,0.0,0.0
klf-1,0.0,0.0,0.0,0.0,0.0,0.0
php-3,0.0,3.8160655,3.3311129,0.0,0.0,1.5956599
ceh-20,1.8580452,1.9080328,0.0,2.1276596,0.0,0.0
cog-1,0.0,0.0,0.0,0.0,0.0,0.0
nhr-67,0.0,0.0,0.0,0.0,0.0,0.0
nhr-14,0.0,0.0,0.0,0.0,0.0,0.0
ceh-38,3.7160904,3.8160655,3.3311129,0.0,7.1787505,0.0
ceh-33,0.0,0.0,0.0,0.0,0.0,0.0
egrh-2,1.8580452,0.0,0.0,0.0,0.0,0.0
pha-4,0.0,0.0,0.0,0.0,0.0,0.0
elt-1,1.8580452,5.724098,6.6622257,0.0,7.1787505,12.765279
skn-1,0.0,3.8160655,0.0,0.0,0.0,6.3826394
unc-3,0.0,0.0,0.0,6.382979,0.0,0.0
elt-2,0.0,0.0,0.0,0.0,0.0,0.0
mef-2,0.0,0.0,0.0,0.0,0.0,0.0
mab-3,0.0,0.0,0.0,0.0,0.0,0.0
snpc-4,0.0,1.9080328,0.0,0.0,3.5893753,4.7869797
che-1,0.0,0.0,0.0,0.0,0.0,0.0
hlh-1,0.0,0.0,0.0,0.0,0.0,1.5956599
crh-1,0.0,0.0,0.0,0.0,0.0,0.0
ceh-22,0.0,0.0,0.0,0.0,0.0,0.0
nob-1,0.0,1.9080328,0.0,0.0,10.7681265,4.7869797
bed-3,0.0,0.0,0.0,0.0,0.0,0.0
hlh-12,0.0,0.0,0.0,0.0,0.0,0.0
Y44A6D.3,0.0,0.0,0.0,0.0,0.0,0.0
Y48G1C.6,0.0,0.0,0.0,0.0,0.0,0.0
atf-2,0.0,0.0,0.0,0.0,0.0,0.0
atf-6,0.0,0.0,3.3311129,0.0,3.5893753,0.0
atf-7,0.0,0.0,0.0,2.1276596,3.5893753,0.0
zip-6,0.0,0.0,0.0,0.0,0.0,0.0
jun-1,0.0,0.0,0.0,0.0,0.0,0.0
zip-10,0.0,0.0,0.0,0.0,0.0,0.0
zip-3,0.0,0.0,0.0,0.0,0.0,0.0
crh-2,1.8580452,0.0,0.0,0.0,0.0,0.0
zip-11,0.0,1.9080328,0.0,0.0,0.0,1.5956599
hpo-39,0.0,0.0,0.0,0.0,0.0,0.0
die-1,1.8580452,11.448196,13.324451,4.255319,7.1787505,4.7869797
egl-43,0.0,0.0,0.0,0.0,0.0,0.0
ham-2,0.0,0.0,0.0,0.0,0.0,0.0
lin-29,0.0,0.0,3.3311129,0.0,0.0,1.5956599
lin-48,0.0,0.0,0.0,0.0,0.0,0.0
lsy-2,1.8580452,1.9080328,3.3311129,2.1276596,0.0,0.0
mnm-2,0.0,0.0,0.0,0.0,0.0,0.0
klf-3,0.0,0.0,0.0,0.0,0.0,0.0
odd-2,0.0,0.0,0.0,0.0,0.0,0.0
pag-3,0.0,0.0,0.0,0.0,0.0,0.0
pat-9,0.0,0.0,0.0,0.0,0.0,0.0
ref-2,0.0,0.0,0.0,0.0,0.0,0.0
egrh-1,0.0,0.0,3.3311129,0.0,3.5893753,0.0
F10B5.3,0.0,0.0,0.0,0.0,0.0,0.0
lsy-27,5.574136,7.632131,0.0,2.1276596,7.1787505,15.956598
F52B5.7,0.0,3.8160655,0.0,2.1276596,0.0,0.0
lsl-1,0.0,0.0,0.0,0.0,0.0,0.0
K11D2.4,0.0,0.0,0.0,2.1276596,0.0,0.0
ztf-14,0.0,0.0,0.0,0.0,0.0,0.0
ztf-27,0.0,0.0,0.0,0.0,0.0,0.0
T22C8.4,0.0,0.0,0.0,2.1276596,0.0,0.0
ztf-6,1.8580452,1.9080328,0.0,6.382979,0.0,0.0
sptf-3,0.0,0.0,0.0,0.0,0.0,0.0
Y53H1A.2,0.0,0.0,0.0,0.0,0.0,0.0
slr-2,0.0,0.0,0.0,0.0,0.0,0.0
ztf-29,0.0,0.0,0.0,0.0,0.0,0.0
ztf-9,0.0,0.0,0.0,0.0,0.0,0.0
klu-1,0.0,0.0,0.0,0.0,0.0,0.0
B0310.2,0.0,0.0,0.0,0.0,0.0,0.0
C46E10.8,0.0,0.0,0.0,0.0,0.0,0.0
ztf-3,0.0,0.0,3.3311129,0.0,3.5893753,0.0
bcl-11,0.0,0.0,0.0,0.0,0.0,0.0
ztf-16,0.0,0.0,0.0,0.0,0.0,0.0
klu-2,0.0,0.0,0.0,0.0,0.0,0.0
syd-9,0.0,0.0,0.0,0.0,0.0,0.0
bnc-1,0.0,0.0,0.0,0.0,0.0,0.0
scrt-1,0.0,0.0,0.0,0.0,0.0,0.0
ztf-11,1.8580452,0.0,0.0,0.0,0.0,0.0
