,cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12
odr-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R102.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
Y102A11A.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01G5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tir-1,0.0,2.1893814,1.2721837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
lact-2,0.7526154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceh-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F57B1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ham-1,0.0,4.3787627,8.269194,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,9.45269
Y52B11A.12,2.257846,1.0946907,0.6360918,0.0,0.0,1.8672392,0.0,2.114165,6.6733403,0.0,3.1806617,0.0,0.945269
ZC443.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dpy-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C34D1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F41D9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fkb-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F28E10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
C53D6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
C09F5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ctg-1,0.0,0.0,0.6360918,0.0,1.8882174,1.8672392,0.0,0.0,3.3366702,1.5817779,0.0,2.2318938,0.0
fos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fmi-1,0.7526154,1.0946907,0.0,0.0,3.776435,0.4668098,0.0,0.0,0.0,3.1635559,0.0,0.0,0.0
spp-13,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
odr-4,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,2.114165,0.0,0.0,0.0,0.0,0.0
elo-6,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.945269
F44E5.4,0.0,7.662835,1.9082755,2.6975992,0.0,0.9336196,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
ttr-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
clec-1,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
ceh-27,0.0,0.0,0.0,2.6975992,0.0,0.0,0.0,0.0,1.6683351,0.0,1.5903308,0.0,0.0
elf-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cey-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11D5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114165,0.0,0.0,0.0,0.0,0.0
chs-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutl-18,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
osm-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osm-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
ZK455.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twk-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pes-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asns-2,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
K10D3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
unc-62,0.0,0.0,0.0,0.0,0.0,3.7344785,0.0,0.0,1.6683351,0.0,1.5903308,5.5797343,0.0
unc-58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inx-13,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
K10C8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lron-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
hil-5,1.5052308,17.51505,22.263214,29.67359,13.217522,13.537485,22.049437,0.0,1.6683351,11.072445,11.132316,2.2318938,10.397959
unc-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3271117,0.0,0.0,0.0
T13H5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y71H2B.1,0.0,0.0,0.0,0.0,0.0,0.9336196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fasn-1,0.0,0.0,0.0,2.6975992,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
tppp-1,0.0,0.0,0.6360918,2.6975992,0.0,0.9336196,0.0,0.0,1.6683351,0.0,1.5903308,0.0,0.0
pghm-1,0.7526154,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,1.6683351,1.5817779,0.0,0.0,0.0
tba-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cutl-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pat-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nphp-4,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
nlp-57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
hot-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qdpr-1,0.0,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glb-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C30G4.4,0.0,0.0,1.2721837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ttn-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
casy-1,0.7526154,0.0,0.0,0.0,3.776435,2.3340492,0.0,0.0,0.0,0.0,3.1806617,1.1159469,0.0
ptd-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hil-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.40173,17.399557,39.75827,6.6956816,0.0
egl-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
sox-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zfh-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
aat-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mnp-1,0.7526154,0.0,0.0,0.0,1.8882174,1.4004295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F53A9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F16C3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vab-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpn-1,0.0,0.0,0.0,0.0,0.0,0.9336196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsp-70,0.0,0.0,0.0,0.0,0.0,0.9336196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14B8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F47E1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mig-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114165,0.0,0.0,0.0,0.0,0.0
W02D7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glr-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32D8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glna-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
fkb-7,0.7526154,0.0,0.0,8.092797,1.8882174,2.3340492,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
dos-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F43C9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C26F1.1,0.7526154,1.0946907,0.0,0.0,1.8882174,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
pros-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C25G6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fbxb-74,1.5052308,2.1893814,1.2721837,2.6975992,3.776435,2.3340492,0.0,0.0,0.0,4.7453337,4.7709928,1.1159469,4.726345
cutl-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
shc-2,0.0,0.0,0.6360918,0.0,0.0,0.0,1.1604967,0.0,0.0,0.0,0.0,0.0,0.0
K08F9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK856.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07E3.4,0.0,0.0,0.0,0.0,1.8882174,0.9336196,0.0,0.0,0.0,0.0,3.1806617,1.1159469,0.0
ZK822.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mec-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,1.5903308,0.0,0.0
pqn-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R02E12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK1307.1,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lon-2,0.7526154,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1806617,2.2318938,0.0
C40H1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
T01E8.8,0.0,0.0,0.0,0.0,1.8882174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
icl-1,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eri-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ift-74,0.7526154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F42G8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F59E11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nlp-31,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,3.3366702,0.0,0.0,0.0,0.0
F54E4.3,0.0,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egl-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
B0228.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gpx-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C01H6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sym-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slt-1,1.5052308,0.0,1.2721837,0.0,0.0,0.4668098,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
tns-1,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,1.6683351,1.5817779,0.0,0.0,0.945269
hmit-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,0.0,0.0
F08B12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K07C11.4,0.0,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
tbx-2,3.0104616,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hrg-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZK287.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
rmd-2,0.0,0.0,0.6360918,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,1.890538
F09E10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F46F2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14F11.6,0.7526154,0.0,0.0,0.0,3.776435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F55D12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,1.1159469,0.0
dao-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
ncam-1,0.0,0.0,0.0,0.0,3.776435,0.0,0.58024836,0.0,3.3366702,0.0,0.0,0.0,0.0
pgal-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
mig-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.945269
mig-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gst-24,0.0,1.0946907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grd-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18A11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
unc-83,0.0,0.0,0.0,5.3951983,0.0,0.0,0.0,0.0,5.0050054,0.0,0.0,0.0,0.945269
C34E7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F48D6.4,0.0,0.0,0.0,2.6975992,0.0,0.0,0.58024836,0.0,0.0,0.0,0.0,1.1159469,0.0
cab-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C50B8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
T10B5.4,0.0,0.0,0.6360918,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,1.1159469,0.0
F32B5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daf-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
F26E4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
che-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3366702,0.0,0.0,0.0,0.0
F57F4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acy-1,0.0,0.0,0.0,0.0,0.0,0.4668098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M153.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
far-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3366702,0.0,0.0,1.1159469,0.0
unc-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F14D12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F44A2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lec-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,0.0,0.0,0.0
sodh-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F32A5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5903308,0.0,0.0
mua-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5817779,0.0,0.0,0.0
tyra-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C08G9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6683351,0.0,1.5903308,0.0,0.0
ace-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
